time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
0,51.5195086171253,5.86065102748178,0,0,95.681252405632,95.681252405632,0.328084,0,0,0,15,5,95.681252405632,0,0,0,0,0,0,264.2,-1.2,0.5,0,0,372,386,387,1684,-99,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
100,51.519508579137,5.86065102647415,0,0,95.681252405632,95.681252405632,0.328084,0,0.0138619098924,0.0138619098924,15,5,95.681252405632,0,0,0.0138619098924,0,0,0,264.2,-1.2,0.5,0,0,370,384,389,1684,-99,-97,-96,100,0,0,95.681252405632,0,41,Motors_Started
200,51.5195085335894,5.86065101188896,0,0,95.681252405632,95.681252405632,0.328084,0,0.0306829406144,0.030806595474,15,5,95.681252405632,0,0,0.0306829406144,0,0,0,264.2,-1.2,0.5,0,0,370,383,391,1684,-99,-97,-96,100,0,0,95.681252405632,0,41,Motors_Started
300,51.5195085184123,5.86065101972194,0,0,95.681252405632,95.681252405632,0.328084,0,0.036058400104,0.0366223765,15,5,95.681252405632,0,0,0.036058400104,0,0,0,264.3,-1.2,0.5,0,0,369,383,387,1684,-99,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
400,51.5195085113611,5.86065103126705,0,0,95.681252405632,95.681252405632,0.328084,0,0.03859744218,0.04029527688,15,5,95.681252405632,0,0,0.03859744218,0,0,0,264.2,-1.2,0.5,0,0,369,383,382,1684,-99,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
500,51.5195084783233,5.86065100829386,0,0,95.681252405632,95.681252405632,0.328084,0,0.050828741784,0.053428807484,15,5,95.681252405632,0,0,0.050828741784,0,0,0,264.2,-1.2,0.5,0,0,369,383,382,1684,-99,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
600,51.5195084428264,5.86065104105505,0,0,95.681252405632,95.681252405632,0.328084,0,0.063667324872,0.068363847332,15,5,95.681252405632,0,0,0.063667324872,0,0,0,264.2,-1.2,0.5,0,0,369,383,382,1684,-99,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
700,51.5195084298477,5.86065102750845,0,0,95.681252405632,95.681252405632,0.328084,0,0.068328086176,0.074010172972,15,5,95.681252405632,0,0,0.068328086176,0,0,0,264.2,-1.2,0.5,0,0,369,383,384,1684,-99,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
800,51.5195084243762,5.86065102020553,0,0,95.681252405632,95.681252405632,0.328084,0,0.070343834272,0.076604989328,15,5,95.681252405632,0,0,0.070343834272,0,0,0,264.2,-1.3,0.5,0,0,368,383,382,1684,-99,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
900,51.5195083908498,5.86065094582705,0,0,95.681252405632,95.681252405632,0.328084,0,0.084612207432,0.097456039864,15,5,95.681252405632,0,0,0.084612207432,0,0,0,264.2,-1.2,0.5,0,0,367,382,386,1684,-100,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
1000,51.5195083465691,5.86065077404613,0,0,95.681252405632,95.681252405632,0.328084,0,0.114256565336,0.13966863964,15,5,95.681252405632,0,0,0.114256565336,0,0,0,264.2,-1.2,0.5,0,0,367,382,383,1684,-100,-97,-97,100,0,0,95.681252405632,0,41,Motors_Started
1100,51.519508332457,5.86065069343431,0,0,95.681252405632,95.681252405632,0.328084,0,0.128602038236,0.158680123188,15,5,95.681252405632,0,0,0.128602038236,0,0,0,264.2,-1.2,0.5,0,0,367,380,379,1684,-100,-98,-98,100,0,0,95.681252405632,0,41,Motors_Started
1200,51.5195083263601,5.86065061620849,0,0,95.681252405632,95.681252405632,0.328084,0,0.141322839168,0.176353024016,15,5,95.681252405632,0,0,0.141322839168,0,0,0,264.2,-1.2,0.5,0,0,474,443,512,1642,-83,-88,-78,94,0,0,95.681252405632,0,41,Motors_Started
1300,51.5195082929216,5.86065059289713,0,0,95.681252405632,95.681252405632,0.328084,0,0.154031500992,0.189651580872,15,5,95.681252405632,0,0,0.154031500992,0,0,0,264.2,-1.2,0.5,0,0,1024,965,1024,1081,0,-9,0,9,0,0,95.681252405632,0,41,Motors_Started
1400,51.5195082366752,5.86065062421013,0,0,95.681252405632,95.681252405632,0.328084,0,0.1662811733,0.211369429336,15,5,95.681252405632,0,0,0.1662811733,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,41,Motors_Started
1500,51.5195082203354,5.86065059515246,0,0,95.681252405632,95.681252405632,0.328084,0,0.174904205072,0.220261161904,15,5,95.681252405632,0,0,0.174904205072,0,0,0,264.2,-1.2,0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,95.681252405632,0,10,Assisted_Takeoff
