time_millisecond_,latitude,longitude,height_above_takeoff_feet_,height_above_ground_at_drone_location_feet_,ground_elevation_at_drone_location_feet_,altitude_above_seaLevel_feet_,height_sonar_feet_,speed_mph_,distance_feet_,mileage_feet_,satellites,gpslevel,max_altitude_feet_,max_ascent_feet_,max_speed_mph_,max_distance_feet_,xSpeed_mph_,ySpeed_mph_,zSpeed_mph_,compass_heading_degrees_,pitch_degrees_,roll_degrees_,isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator_percent_,rc_aileron_percent_,rc_throttle_percent_,rc_rudder_percent_,gimbal_heading_degrees_,gimbal_pitch_degrees_,altitude_feet_,ascent_feet_,flycStateRaw,flycState
0,51.5197584871671,5.86038646924261,0,0,95.967098215304,95.967098215304,0.328084,0,0,0,19,5,95.967098215304,0,0,0,0,0,0,218.3,2.3,0.2,0,0,1024,1024,1024,1024,0,0,0,0,216.9,0,95.967098215304,0,6,P-GPS
100,51.5197584624994,5.86038640640878,0,0,95.967098215304,95.967098215304,0.328084,0,0.0168667328232,0.0168667328232,19,5,95.967098215304,0,0,0.0168667328232,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
200,51.5197584359452,5.86038640080614,0,0,95.967098215304,95.967098215304,0.328084,0,0.0243031831924,0.0266381570204,19,5,95.967098215304,0,0,0.0243031831924,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
300,51.5197583813362,5.86038639445916,0,0,95.967098215304,95.967098215304,0.328084,0,0.04218011946,0.04661417472,19,5,95.967098215304,0,0,0.04218011946,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
400,51.5197583440839,5.86038638930483,0,0,95.967098215304,95.967098215304,0.328084,0,0.055268374472,0.06025590744,19,5,95.967098215304,0,0,0.055268374472,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
500,51.5197582543802,5.86038634344675,0,0,95.967098215304,95.967098215304,0.328084,0,0.089604989744,0.094600396728,19,5,95.967098215304,0,0,0.089604989744,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
600,51.5197582458228,5.86038636716271,0,0,95.967098215304,95.967098215304,0.328084,0,0.091052824436,0.100824150208,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
700,51.5197582463186,5.860386421889,0,0,95.967098215304,95.967098215304,0.328084,0,0.08852854614,0.11324967554,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
800,51.519758249512,5.8603864604768,0,0,95.967098215304,95.967098215304,0.328084,0,0.086731301988,0.122087274248,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
900,51.5197583125572,5.860386535675,0,0,95.967098215304,95.967098215304,0.328084,0,0.065467193696,0.150732616372,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
1000,51.5197583182372,5.86038654904444,0,0,95.967098215304,95.967098215304,0.328084,0,0.064241471872,0.15440781334,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,364,364,364,1684,-100,-100,-100,100,216.9,0,95.967098215304,0,41,Motors_Started
1100,51.5197583234222,5.86038655475637,0,0,95.967098215304,95.967098215304,0.328084,0,0.062817587312,0.1567011205,19,5,95.967098215304,0,0,0.091052824436,0,0,0,218.3,2.3,0.2,0,0,776,775,1024,1024,-38,-38,0,0,216.9,0,95.967098215304,0,41,Motors_Started
